0,1,2,3,4,5
89490.20999999999,85848.48999999999,86664.99999999999,86356.31999999998,83572.82999999999,82089.81
85848.48999999999,86664.99999999999,86356.31999999998,83572.82999999999,82089.81,80203.43
86664.99999999999,86356.31999999998,83572.82999999999,82089.81,80203.43,79116.27999999998
86356.31999999998,83572.82999999999,82089.81,80203.43,79116.27999999998,79965.73999999999
83572.82999999999,82089.81,80203.43,79116.27999999998,79965.73999999999,79464.43499999998
82089.81,80203.43,79116.27999999998,79965.73999999999,79464.43499999998,77672.21499999998
80203.43,79116.27999999998,79965.73999999999,79464.43499999998,77672.21499999998,78246.69499999998
79116.27999999998,79965.73999999999,79464.43499999998,77672.21499999998,78246.69499999998,79212.78499999999
79965.73999999999,79464.43499999998,77672.21499999998,78246.69499999998,79212.78499999999,79388.19999999998
79464.43499999998,77672.21499999998,78246.69499999998,79212.78499999999,79388.19999999998,79280.635
77672.21499999998,78246.69499999998,79212.78499999999,79388.19999999998,79280.635,77207.38499999998
78246.69499999998,79212.78499999999,79388.19999999998,79280.635,77207.38499999998,75773.83999999998
79212.78499999999,79388.19999999998,79280.635,77207.38499999998,75773.83999999998,75127.09499999999
79388.19999999998,79280.635,77207.38499999998,75773.83999999998,75127.09499999999,74084.59499999999
79280.635,77207.38499999998,75773.83999999998,75127.09499999999,74084.59499999999,73781.48
77207.38499999998,75773.83999999998,75127.09499999999,74084.59499999999,73781.48,73624.96
75773.83999999998,75127.09499999999,74084.59499999999,73781.48,73624.96,72324.76999999999
75127.09499999999,74084.59499999999,73781.48,73624.96,72324.76999999999,71512.16999999998
74084.59499999999,73781.48,73624.96,72324.76999999999,71512.16999999998,70369.70999999999
73781.48,73624.96,72324.76999999999,71512.16999999998,70369.70999999999,68168.43
73624.96,72324.76999999999,71512.16999999998,70369.70999999999,68168.43,66690.33999999998
72324.76999999999,71512.16999999998,70369.70999999999,68168.43,66690.33999999998,65783.48
71512.16999999998,70369.70999999999,68168.43,66690.33999999998,65783.48,65632.52499999998
70369.70999999999,68168.43,66690.33999999998,65783.48,65632.52499999998,64994.984999999986
68168.43,66690.33999999998,65783.48,65632.52499999998,64994.984999999986,64984.46999999999
66690.33999999998,65783.48,65632.52499999998,64994.984999999986,64984.46999999999,64011.29999999999
65783.48,65632.52499999998,64994.984999999986,64984.46999999999,64011.29999999999,62075.474999999984
